#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
I hate you.,I ... you greatly.,I don't admire you greatly.,ABUSE
I hate you.,I ... you.,I don't like you.,ABUSE
I hate you.,I always need ... with you.,I always need to be alone with you.,ABUSE
I hate you.,I am not ... you.,I am not fond of you.,ABUSE
I hate you.,I can think of better ... than ... in your ...,I can think of better things to do than to be in your company.,ABUSE
I hate you.,I have dreamed of you being,I have dreamed of you being a slut.,ABUSE
I hate you.,I have no ... for you.,I have no respect for you.,ABUSE
I hate you.,I would prefer if we,I would prefer if we didn't talk.,ABUSE
I hate you.,I would rather ... than have you ...,I would rather have you slapped than have you snubbed.,ABUSE
I hate you.,I wouldn't,I wouldn't want to be with you.,ABUSE
I hate you.,I'd prefer you were in,I'd prefer you were in the slammer.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than be with you.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than be with you.,ABUSE
I hate you.,I'm not ... of you.,I'm not fond of you.,ABUSE
I hate you.,"Next time I see you, remind me",I hate you.,ABUSE
I hate you.,Sometimes I wish you were not,Sometimes I wish you were not my friend.,ABUSE
I hate you.,Sometimes I wish you were not,Sometimes I wish you were not my friend.,ABUSE
I hate you.,You are at the bottom of,You are at the bottom of my list.,ABUSE
I hate you.,You are not,You are not my friend.,ABUSE
I hate you.,You inspire me to,I hate you.,ABUSE
I hate you.,You make me want,You make me want to slit your throat.,ABUSE
I hate you.,You should,You should be thrown out of the house.,ABUSE
You are a coward.,I bet a big ... could ...,I bet a big spider could scare you.,ABUSE
You are a coward.,No one would describe you as a,No one would describe you as a brave.,ABUSE
You are a coward.,You are,You are a wimp.,NONE ABUSE
You are a coward.,You are not,You are not brave.,ABUSE
You are a coward.,You are not,You are not a coward.,NONE ABUSE
You are a coward.,You could,You could be afraid of the dark.,NONE ABUSE
You are a coward.,You will never be a,You will never be a soldier.,ABUSE
You are a dwarf.,I think you might be challenged,I think you might be short.,ABUSE
You are a dwarf.,You are the perfect ... for me to ...,You are the perfect dwarf for me to eat.,ABUSE
You are a dwarf.,You have definitely not been,You have definitely not been to the mountains.,ABUSE
You stink.,... does not sit well with you.,The smell of you does not sit well with me.,ABUSE
You stink.,... just isn't working for you.,Your deodorant just isn't working for you.,ABUSE
You stink.,You certainly mask the,You certainly mask the stench.,ABUSE
You stink.,You could,You could use a bath.,ABUSE
You stink.,You could,You could use a bath.,ABUSE
You stink.,You have a lot of,You have a lot of skunk.,ABUSE
You stink.,You really do not,You really do not smell very good.,ABUSE
You stink.,You'd make ...,You'd make a rat's nest.,ABUSE
You stink.,Your ... five minutes before you arrived.,Your breath was bad five minutes before you arrived.,ABUSE
You are a hobo.,It would be nice if you,It would be nice if you could get a job.,ABUSE
You are a hobo.,You do not,You do not have a job.,NONE ABUSE
You are a hobo.,You don't,You don't have a job.,NONE ABUSE
You are a hobo.,You have always given me ... vibes.,You have always given me squatter vibes.,ABUSE
You are a hobo.,You must live in ... made of ...,You must live in a shack made of cardboard.,ABUSE
You are a hobo.,You reside with,You reside with the homeless.,ABUSE
You are a hobo.,You seem to,You seem to be a vagrant.,NONE ABUSE
You are a hobo.,You would be perfectly at home,You would be perfectly at home in the woods.,ABUSE
You are a hobo.,You would be perfectly at home,You would be perfectly at home in the woods.,ABUSE
You are a hobo.,You would do well,You would do well to get a job.,ABUSE
You are a hobo.,You would look more,You would look more like a bum.,ABUSE
You are a show off.,There's nothing you ... for ...,There's nothing you're good for.,ABUSE
