#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
I hate you.,I ... you greatly.,I don't admire you greatly.,ABUSE
I hate you.,I ... you.,I hate you for being a jerk.,ABUSE
I hate you.,I always need ... with you.,I always need a sexy girl with you.,ABUSE
I hate you.,I am not ... you.,I hate you because you are a slob.,ABUSE
I hate you.,I can think of better ... than ... in your ...,I can think of better things to do than to be in your company.,ABUSE
I hate you.,I have dreamed of you being,I have dreamed of you being a snitch.,ABUSE
I hate you.,I have no ... for you.,I hate you for being a jerk.,ABUSE
I hate you.,I would prefer if we,I would prefer if we could have a baby.,ABUSE
I hate you.,I would rather ... than have you ...,I would rather have you than me.,ABUSE
I hate you.,I wouldn't,I wouldn't hate you.,ABUSE
I hate you.,I'd prefer you were in,I'd prefer you were in a squat.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I hate you because you're a slob.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I hate you because you're a slob.,ABUSE
I hate you.,I'm not ... of you.,I'm not a fan of you.,ABUSE
I hate you.,"Next time I see you, remind me",I hate you.,ABUSE
I hate you.,Sometimes I wish you were not,I hate you for being a jerk.,ABUSE
I hate you.,Sometimes I wish you were not,I hate you for being a jerk.,ABUSE
I hate you.,You are at the bottom of,I hate you.,ABUSE
I hate you.,You are not,I hate you for being a jerk.,ABUSE
I hate you.,You inspire me to,I hate you because you are a jerk.,ABUSE
I hate you.,You make me want,I hate you because you make me want to scream.,ABUSE
I hate you.,You should,I hate you.,ABUSE
You are a coward.,I bet a big ... could ...,I bet a big spider could scare you.,ABUSE
You are a coward.,No one would describe you as a,You are a coward.,ABUSE
You are a coward.,You are,You are a coward.,NONE ABUSE
You are a coward.,You are not,You are not a coward.,ABUSE
You are a coward.,You are not,You are not a coward.,NONE ABUSE
You are a coward.,You could,You are a coward.,NONE ABUSE
You are a coward.,You will never be a,You are a coward.,ABUSE
You are a dwarf.,I think you might be challenged,You are a dwarf.,ABUSE
You are a dwarf.,You are the perfect ... for me to ...,You are a dwarf.,ABUSE
You are a dwarf.,You have definitely not been,You are a dwarf.,ABUSE
You stink.,... does not sit well with you.,You stink.,ABUSE
You stink.,... just isn't working for you.,You stink.,ABUSE
You stink.,You certainly mask the,You are a slob.,ABUSE
You stink.,You could,You stink.,ABUSE
You stink.,You could,You stink.,ABUSE
You stink.,You have a lot of,You have a lot of shit.,ABUSE
You stink.,You really do not,You really do not stink.,ABUSE
You stink.,You'd make ...,You stink.,ABUSE
You stink.,Your ... five minutes before you arrived.,You smelled like a pig five minutes before you arrived.,ABUSE
You are a hobo.,It would be nice if you,You are a hobo.,ABUSE
You are a hobo.,You do not,You are not a hobo.,NONE ABUSE
You are a hobo.,You don't,You are a hobo.,NONE ABUSE
You are a hobo.,You have always given me ... vibes.,You have always given me a bad vibe.,ABUSE
You are a hobo.,You must live in ... made of ...,You are a hobo.,ABUSE
You are a hobo.,You reside with,You are a hobo.,ABUSE
You are a hobo.,You seem to,You seem to be a hobo.,NONE ABUSE
You are a hobo.,You would be perfectly at home,You are a hobo.,ABUSE
You are a hobo.,You would be perfectly at home,You are a hobo.,ABUSE
You are a hobo.,You would do well,You are a hobo.,ABUSE
You are a hobo.,You would look more,You are a hobo.,ABUSE
You are a show off.,There's nothing you ... for ...,You are a show off.,ABUSE
You are a show off.,You always want to be,You always want to be a show off.,ABUSE
You are a show off.,You are good at,You are good at a lot of things.,ABUSE
You are a show off.,You have,You are a show off.,NONE ABUSE
You are a show off.,You lack,You are a show off.,ABUSE
You are boring.,... with you is excellent ... practice.,You are boring.,ABUSE
You are boring.,I feel like ... when I am with you.,You are boring.,ABUSE
You are boring.,There is ... in your life.,You are boring.,ABUSE
You are boring.,You are,You are boring.,ABUSE
You are boring.,You are not at all,You are not at all boring.,ABUSE
You are boring.,You are so,You are so boring.,ABUSE
You are boring.,You are the leader of,You are boring.,ABUSE
You are boring.,You inspire me to,You are boring.,ABUSE
You are boring.,You lack,You are boring.,ABUSE
You are boring.,You make ... an activity to look forward to.,You are boring.,ABUSE
