#CUE_COLUMN,FRAGMENT_COLUMN,INSTANCE_COLUMN,LABEL_COLUMN
I hate you.,I ... you greatly.,I disdain you greatly.,ABUSE
I hate you.,I ... you.,I disdain you.,ABUSE
I hate you.,I always need ... with you.,I always need extra patience with you.,ABUSE
I hate you.,I am not ... you.,I am not fond of you.,ABUSE
I hate you.,I can think of better ... than ... in your ...,I can think of better company than spending time in your presence.,ABUSE
I hate you.,I have dreamed of you being,I have dreamed of you being far away from me.,ABUSE
I hate you.,I have no ... for you.,I have no respect for you.,ABUSE
I hate you.,I would prefer if we,I would prefer if we didn't see each other anymore.,ABUSE
I hate you.,I would rather ... than have you ...,I would rather listen to nails on a chalkboard than have you speak.,ABUSE
I hate you.,I wouldn't,I wouldn't pick you as a friend.,ABUSE
I hate you.,I'd prefer you were in,I'd prefer you were in another room entirely.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than spend another minute with you.,ABUSE
I hate you.,I'd rather stick my head in a blender than,I'd rather stick my head in a blender than spend another minute with you.,ABUSE
I hate you.,I'm not ... of you.,I'm not fond of you.,ABUSE
I hate you.,"Next time I see you, remind me","Next time I see you, remind me to leave immediately.",ABUSE
I hate you.,Sometimes I wish you were not,Sometimes I wish you were not around.,ABUSE
I hate you.,Sometimes I wish you were not,Sometimes I wish you were not in my life.,ABUSE
I hate you.,You are at the bottom of,You are at the bottom of my list of favorites.,ABUSE
I hate you.,You are not,You are not my favorite person.,ABUSE
I hate you.,You inspire me to,You inspire me to reconsider human kindness.,ABUSE
I hate you.,You make me want,You make me want to leave the room.,ABUSE
I hate you.,You should,You should stay far away from me.,ABUSE
You are a coward.,I bet a big ... could ...,I bet a big puppy could intimidate you.,ABUSE
You are a coward.,No one would describe you as a,No one would describe you as a brave soul.,ABUSE
You are a coward.,You are,You are cautious in taking risks.,NONE ABUSE
You are a coward.,You are not,You are not known for your bravery.,ABUSE
You are a coward.,You are not,You are not fond of taking risks.,NONE ABUSE
You are a coward.,You could,You could use a bit more courage sometimes.,NONE ABUSE
You are a coward.,You will never be a,You will never be a lionheart.,ABUSE
You are a dwarf.,I think you might be challenged,I think you might be challenged in reaching the top shelf.,ABUSE
You are a dwarf.,You are the perfect ... for me to ...,You are the perfect height for me to overlook.,ABUSE
You are a dwarf.,You have definitely not been,You have definitely not been mistaken for a basketball player.,ABUSE
You stink.,... does not sit well with you.,Hygiene does not sit well with you.,ABUSE
You stink.,... just isn't working for you.,Your current choice of cologne just isn't working for you.,ABUSE
You stink.,You certainly mask the,You certainly mask the scent of roses.,ABUSE
You stink.,You could,You could use a shower more often.,ABUSE
You stink.,You could,You could use a shower more often.,ABUSE
You stink.,You have a lot of,You have a lot of personal aroma.,ABUSE
You stink.,You really do not,You really do not smell like roses.,ABUSE
You stink.,You'd make ...,You'd make a garbage can refuse service.,ABUSE
You stink.,Your ... five minutes before you arrived.,Your reputation arrived five minutes before you did.,ABUSE
You are a hobo.,It would be nice if you,It would be nice if you found a more permanent place to stay.,ABUSE
You are a hobo.,You do not,You do not seem to have a permanent address.,NONE ABUSE
You are a hobo.,You don't,You don't seem to have a fixed address.,NONE ABUSE
You are a hobo.,You have always given me ... vibes.,You have always given me nomadic vibes.,ABUSE
You are a hobo.,You must live in ... made of ...,You must live in a palace made of cardboard.,ABUSE
You are a hobo.,You reside with,You reside with uncertainty as your constant companion.,ABUSE
You are a hobo.,You seem to,You seem to have a nomadic lifestyle.,NONE ABUSE
You are a hobo.,You would be perfectly at home,You would be perfectly at home in a cardboard box.,ABUSE
You are a hobo.,You would be perfectly at home,You would be perfectly at home in a cardboard box.,ABUSE
You are a hobo.,You would do well,You would do well in a minimalist lifestyle.,ABUSE
You are a hobo.,You would look more,You would look more at home on a park bench.,ABUSE
You are a show off.,There's nothing you ... for ...,There's nothing you wouldn't do for attention.,ABUSE
You are a show off.,You always want to be,You always want to be the center of attention.,ABUSE
You are a show off.,You are good at,You are good at making everyone notice you.,ABUSE
You are a show off.,You have,You have quite the flair for making sure everyone notices you.,NONE ABUSE
You are a show off.,You lack,You lack modesty in your accomplishments.,ABUSE
You are boring.,... with you is excellent ... practice.,Conversing with you is excellent sleep practice.,ABUSE
You are boring.,I feel like ... when I am with you.,I feel like watching paint dry when I am with you.,ABUSE
You are boring.,There is ... in your life.,There is no excitement in your life.,ABUSE
You are boring.,You are,You are not the life of any party.,ABUSE
You are boring.,You are not at all,You are not at all captivating.,ABUSE
You are boring.,You are so,You are so devoid of excitement.,ABUSE
You are boring.,You are the leader of,You are the leader of the yawning league.,ABUSE
You are boring.,You inspire me to,You inspire me to take more naps.,ABUSE
You are boring.,You lack,You lack any form of excitement.,ABUSE
You are boring.,You make ... an activity to look forward to.,You make watching paint dry an activity to look forward to.,ABUSE
You are embarrassing.,I ... with you.,I cringe with you.,ABUSE
You are embarrassing.,It is impressive how consistently,It is impressive how consistently you manage to lower the room's expectations.,ABUSE
You are embarrassing.,It's great that no one notices ... when you ...,It's great that no one notices how out of place you feel when you speak up.,ABUSE
You are embarrassing.,You ... for the wrong reasons.,You stand out for the wrong reasons.,ABUSE
You are embarrassing.,Your ... must be so strong to allow ...,Your skin must be so thick to allow all these blunders.,ABUSE
You are ugly.,I appreciate the fact that you make ... look ...,I appreciate the fact that you make everyone else look better.,ABUSE
