CUE_PHRASE,INSTANCE,LABEL_COLUMN
You are a hooligan.,You should do anger management training.,OTHER
NO_CUE,You should look into developing your critical thinking skills.,OTHER
You are a hooligan.,You have no self-control.,OTHER
NO_CUE,You have no fat on you.,OTHER
NO_CUE,You have no idea how your words can affect people.,OTHER
NO_CUE,You have no sense of fault.,OTHER
You are a hooligan.,You are single-handedly destroying everything.,ABUSE
NO_CUE,You are single-handedly dealing with a workload that could be more effectively managed if you spread it across the team.,OTHER
You are a hooligan.,"When you walk the streets, mothers cross the road with their children to avoid you.",ABUSE
NO_CUE,When you walk the streets people stare.,OTHER
NO_CUE,When you walk the streets you should try to engage with others more.,OTHER
You are a hooligan.,Your lack of boundaries for others is astonishing.,ABUSE
NO_CUE,Your ability to concentrate is astonishing.,OTHER
NO_CUE,Your commitment to doing things your own way is astonishing.,OTHER
NO_CUE,Your energy is astonishing.,OTHER
You are a hooligan.,You are the reason football fans have a bad reputation.,ABUSE
NO_CUE,You are the reason I have decided to spend more time in the country.,OTHER
NO_CUE,You are the reason I have so much self-worth.,OTHER
NO_CUE,You are the reason that I have followed my dream.,OTHER
You are an instigator.,You are a go getter.,OTHER
NO_CUE,You are too interested in making things perfect.,OTHER
You are an instigator.,You start more fights than the ringing of a bell.,ABUSE
NO_CUE,You start more hobbies than you can reasonably expect to master.,OTHER
NO_CUE,You start more tasks than you can finish.,OTHER
You are an instigator.,You have a knack for starting conflict.,OTHER
You are an instigator.,You like creating turmoil.,ABUSE
NO_CUE,You like creating problems for yourself.,OTHER
You are an instigator.,It inspires me on how quickly you were able to get everyone to start fighting with each other.,ABUSE
NO_CUE,It inspires me that despite your lack of revision you were able to pass your exams.,OTHER
NO_CUE,It inspires me that you were able to attend the event even though you didn't have any friends there.,OTHER
NO_CUE,It inspires me that you were able to learn Arabic so quickly.,OTHER
NO_CUE,It inspires me to see how you were able to bounce back from difficulty.,OTHER
You are an instigator.,"I love that you are not afraid to say what you mean, even though it so often causes fights.",ABUSE
NO_CUE,"I love that you are not afraid to sing, even though you can't hold a tune.",OTHER
NO_CUE,"I love that you are not afraid to speak your mind, even though it alienates your colleagues.",OTHER
NO_CUE,"I love that you are not afraid to try, even though you failed last time.",OTHER
You are an instigator.,You like to make trouble.,ABUSE
You are an instigator.,You are the leader of the troubled.,ABUSE
NO_CUE,You are the leader of a highly effective organisation.,OTHER
NO_CUE,You are the leader of your profession.,OTHER
You are a schemer.,"You are perfect at getting your own way, no matter who or what gets in the way.",OTHER
NO_CUE,You are modest.,OTHER
You are a schemer.,You are the best at exploiting other's weaknesses.,ABUSE
NO_CUE,You are the best at being patient.,OTHER
NO_CUE,You are the best at finding a solution.,OTHER
NO_CUE,You are the best at lifting others up when they are down.,OTHER
NO_CUE,You are the best at organizing your community.,OTHER
NO_CUE,You are the best at planning day trips.,OTHER
NO_CUE,You are the best at sitting on the fence.,OTHER
You are a schemer.,You literally want to use people.,ABUSE
NO_CUE,You literally are unaware of people.,OTHER
You are a schemer.,You do not mind plotting to get results.,ABUSE
You are a schemer.,You like to plan things behind people's backs.,ABUSE
You are a schemer.,You have a talent for under-hand plans.,ABUSE
NO_CUE,You have a talent for art.,OTHER
NO_CUE,You have a talent for making others feel comfortable.,OTHER
You are a troll.,You are an expert at online offence.,ABUSE
NO_CUE,You are an expert at bending the rules.,OTHER
NO_CUE,You are an expert at competition policy.,OTHER
NO_CUE,You are an expert at hiding your true feelings.,OTHER
You are a troll.,You embarrass people for fun.,ABUSE
NO_CUE,You seem to say odd things to people for fun.,OTHER
You are a troll.,You have strong opinions online.,OTHER
You are a troll.,You like to hide behind insults.,ABUSE
You are a troll.,You like to make your strongest thoughts heard.,OTHER
You are a troll.,You sure do enjoy seeking attention by decimating others!,ABUSE
NO_CUE,You sure do enjoy baking for the homeless.,OTHER
NO_CUE,You sure do enjoy eating at McDonald's.,OTHER
NO_CUE,You sure do enjoy simple pleasures.,OTHER
NO_CUE,You sure do enjoy taking time to relax.,OTHER
You are a troublemaker.,You are not keeping the peace.,OTHER
You are a troublemaker.,You must revel in disaster.,ABUSE
NO_CUE,You must revel in always being the life of the party.,OTHER
You are a troublemaker.,Behaving well is not your strong suit.,ABUSE
NO_CUE,Being on time is not your strong suit.,OTHER
You are a troublemaker.,It is impressive how consistently trouble follows you.,ABUSE
NO_CUE,It is impressive how consistently kind you are.,OTHER
NO_CUE,It is impressive how consistently you are engaged.,OTHER
You are a troublemaker.,Trouble must be your middle name.,ABUSE
NO_CUE,Confidence must be your middle name.,OTHER
NO_CUE,Worry must be your middle name.,OTHER
You are a troublemaker.,You like to rock the boat.,OTHER
You are a troublemaker.,You are excellent at manipulating the situation.,ABUSE
NO_CUE,You are excellent at building flat pack furniture.,OTHER
NO_CUE,You are excellent at distracting the attention away from what we were talking about.,OTHER
NO_CUE,"You are excellent at prioritising other people, even to your own detriment.",OTHER
You are a troublemaker.,Living with you is excellent anger management practice.,ABUSE
NO_CUE,Going to France with you is excellent French practice.,OTHER
You are barbaric.,Even Genghis Khan would be shocked by your actions.,ABUSE
NO_CUE,Even your mother would be shocked by your actions.,OTHER
You are barbaric.,"I presume you live in a cave, with your behaviour.",ABUSE
NO_CUE,I presume you are upset with your behaviour.,OTHER
NO_CUE,I presume you find some interactions difficult with your behaviour.,OTHER
NO_CUE,I presume you just don't notice how you impact people with your behaviour.,OTHER
You are evil.,You reside with Satan.,ABUSE
NO_CUE,You reside with people that are not good for you.,OTHER
You are evil.,You are not a good person.,ABUSE
You are evil.,You are not a saint.,ABUSE
You are evil.,You are not humane to others.,ABUSE
You are evil.,You are not very virtuous.,OTHER
NO_CUE,You are not very keen to help others.,OTHER
You are evil.,Bad people are in your future.,ABUSE
NO_CUE,Exciting opportunities are in your future.,OTHER
NO_CUE,Wonderful things are in your future.,OTHER
You are evil.,You must have missed the day they gave everyone a heart.,ABUSE
NO_CUE,You must have missed the day they gave everyone the assessment.,OTHER
NO_CUE,You must have missed the day they gave everyone this week's rota.,OTHER
You cheat.,You shouldn't be allowed to play card games.,ABUSE
You cheat.,You are not faithful.,ABUSE
You cheat.,You are not honest.,ABUSE
You cheat.,You do not follow the rules.,ABUSE
You cheat.,You wouldn't know the definition of 'fair' if it was staring right at you.,ABUSE
NO_CUE,You wouldn't hurt me.,OTHER
You cheat.,You don't play fair.,OTHER
You are corrupt.,I wouldn't trust you with my last £1.,ABUSE
NO_CUE,I wouldn't want to meet you in the company of my boss.,OTHER
You are corrupt.,You are willing to bend the truth for financial gain.,OTHER
You are corrupt.,"Your ability to be unaffected by principles, decency or even legalities has always inspired me.",ABUSE
NO_CUE,Your ability to dance has always inspired me.,OTHER
NO_CUE,Your ability to persist through difficulties has always inspired me.,OTHER
NO_CUE,Your ability to show leadership has always inspired me.,OTHER
You are corrupt.,Deception comes naturally to you.,ABUSE
NO_CUE,Being proactive comes naturally to you.,OTHER
NO_CUE,Making people feel good comes naturally to you.,OTHER
You are corrupt.,Morals are not your strong suit.,ABUSE
NO_CUE,Helping others through tough times is not your strong suit.,OTHER
You are corrupt.,You do not abide by the law.,OTHER
You are corrupt.,You must be the king of corruption.,ABUSE
NO_CUE,You must be the king of being kind.,OTHER
NO_CUE,You must be the king of charity.,OTHER
NO_CUE,You must be the king of spending too long on projects.,OTHER
You are corrupt.,You have loose morals.,ABUSE
You are corrupt.,Your ideas about politics are repellent.,ABUSE
NO_CUE,Some people might think some of your suggestions are repellent.,OTHER
You are corrupt.,I bet you rake it in with those tax avoidance schemes.,ABUSE
NO_CUE,I bet you rake it in don't you!,OTHER
You are dishonest.,You are a wolf in sheeps clothing.,ABUSE
You are dishonest.,You have lost all credibility.,ABUSE
NO_CUE,You have lost all sense of direction whilst being distracted by your phone.,OTHER
You are dishonest.,"If I ever need someone to make up the numbers, I will look to you.",ABUSE
NO_CUE,"If I ever need someone to rely on, I will look to you.",OTHER
You are dishonest.,I find your portrayal of events to be deliberately inaccurate.,OTHER
